Game_ID,Event_Number,Frame_Number,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29
C:\Users\u172951\Documents\data\0021500480.json,0,36,23.0,-0.19166570972528965,4.244029155145754,0.0,0.0,0.0,0.0,8.795864037056147e-08,0.0,0.0,23.0,-0.19166570972528965,4.244029155145754,0.0,0.0,23.0,-0.9485208238182355,20.062779865785757,0.0,0.0,23.0,-0.7570977634938139,18.10280707334836,0.0,0.0,23.0,-0.7570977634938139,18.10280707334836,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,0,49,23.0,-0.15839675676445228,6.291758254318429,0.0,0.0,1.0,-2.9319546790187155e-08,8.795864037056147e-08,0.0,0.0,23.0,-0.15839675676445228,6.291758254318429,0.0,0.0,23.0,-0.8633324582065738,16.56529452397868,0.0,0.0,23.0,-0.796614571895789,17.768293291060807,0.0,0.0,23.0,-0.796614571895789,17.768293291060807,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,0,62,23.0,-0.3074101753450446,13.47414080290423,0.0,0.0,0.0,0.0,5.348193655950503,0.0,0.0,23.0,-0.3074101753450446,8.222620319568877,0.0,0.0,23.0,-0.6969050174649799,12.016292232277628,0.0,0.0,23.0,-0.7799751650518953,15.052141623067328,0.0,0.0,23.0,-0.7799751650518953,19.18909209365007,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,0,75,23.0,-0.3736713949185037,25.094635191317263,0.0,0.0,1.0,-2.9319546790187155e-08,17.269442713134815,0.0,0.0,23.0,-0.3736713949185037,8.581399676014309,0.0,0.0,23.0,-0.4942721596377905,6.725068556739358,0.0,0.0,23.0,-0.6279798970463378,12.238555021121106,0.0,0.0,23.0,-0.6279798970463378,26.515226776346214,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,1,36,23.0,-0.19166570972528965,4.244029155145754,0.0,0.0,0.0,0.0,8.795864037056147e-08,0.0,0.0,23.0,-0.19166570972528965,4.244029155145754,0.0,0.0,23.0,-0.9485208238182355,20.062779865785757,0.0,0.0,23.0,-0.7570977634938139,18.10280707334836,0.0,0.0,23.0,-0.7570977634938139,18.10280707334836,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,1,49,23.0,-0.15839675676445228,6.291758254318429,0.0,0.0,1.0,-2.9319546790187155e-08,8.795864037056147e-08,0.0,0.0,23.0,-0.15839675676445228,6.291758254318429,0.0,0.0,23.0,-0.8633324582065738,16.56529452397868,0.0,0.0,23.0,-0.796614571895789,17.768293291060807,0.0,0.0,23.0,-0.796614571895789,17.768293291060807,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,1,62,23.0,-0.3074101753450446,13.47414080290423,0.0,0.0,0.0,0.0,5.348193655950503,0.0,0.0,23.0,-0.3074101753450446,8.222620319568877,0.0,0.0,23.0,-0.6969050174649799,12.016292232277628,0.0,0.0,23.0,-0.7799751650518953,15.052141623067328,0.0,0.0,23.0,-0.7799751650518953,19.18909209365007,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,1,75,23.0,-0.3736713949185037,25.094635191317263,0.0,0.0,1.0,-2.9319546790187155e-08,17.269442713134815,0.0,0.0,23.0,-0.3736713949185037,8.581399676014309,0.0,0.0,23.0,-0.4942721596377905,6.725068556739358,0.0,0.0,23.0,-0.6279798970463378,12.238555021121106,0.0,0.0,23.0,-0.6279798970463378,26.515226776346214,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,1,390,23.0,-0.384951174032051,7.571253680763087,0.0,0.0,23.0,-0.31414682905316627,9.875824618863787,0.0,0.0,23.0,-0.36776597942637423,12.801452287257936,0.0,0.0,23.0,-1.2440899197986506,28.756111718224933,0.0,0.0,23.0,-1.1040541924842129,23.022129968337932,0.0,0.0,23.0,-0.8679999369644673,21.418678447116534,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,1,827,23.0,-0.4944156420420397,10.461966432092305,0.0,0.0,23.0,-0.7811353485808061,15.634519150622284,0.0,0.0,23.0,-0.3119435858096592,9.343717313484754,0.0,0.0,23.0,-1.8173618358354064,44.95775349727018,0.0,0.0,23.0,-1.519828891740137,40.774711934795675,0.0,0.0,23.0,-1.806374629718838,38.901139879003324,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,1,840,23.0,-0.4471574556164991,9.374767563976643,0.0,0.0,23.0,-0.6493830360866303,15.181990454773407,0.0,0.0,23.0,-0.41420942356350293,14.17157688188287,0.0,0.0,23.0,-2.0057964668028863,45.3784821885666,0.0,0.0,23.0,-1.8185928656485246,44.3696991908053,0.0,0.0,23.0,-1.6671877201711873,36.48214857869012,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,2,201,23.0,-0.4944156420420397,10.461966432092305,0.0,0.0,23.0,-0.7811353485808061,15.634519150622284,0.0,0.0,23.0,-0.3119435858096592,9.343717313484754,0.0,0.0,23.0,-1.8173618358354064,44.95775349727018,0.0,0.0,23.0,-1.519828891740137,40.774711934795675,0.0,0.0,23.0,-1.806374629718838,38.901139879003324,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,2,214,23.0,-0.4471574556164991,9.374767563976643,0.0,0.0,23.0,-0.6493830360866303,15.181990454773407,0.0,0.0,23.0,-0.41420942356350293,14.17157688188287,0.0,0.0,23.0,-2.0057964668028863,45.3784821885666,0.0,0.0,23.0,-1.8185928656485246,44.3696991908053,0.0,0.0,23.0,-1.6671877201711873,36.48214857869012,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,2,532,23.0,-0.12302511886380993,2.8737658003443336,0.0,0.0,23.0,-0.13645637353199144,5.3492333571665185,0.0,0.0,23.0,-0.17033975127231502,7.692120042915949,0.0,0.0,23.0,-1.1035537660296162,24.256989995180675,0.0,0.0,23.0,-0.9661259974846407,20.387605125206637,0.0,0.0,23.0,-0.988009202299909,22.73856906641716,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,2,545,10.0,-0.1357902694242946,4.404159676479145,0.0,0.0,23.0,-0.2385634800869413,12.435740132057113,0.0,0.0,23.0,-0.37094911051856866,15.038704238773732,0.0,0.0,23.0,-1.0525316115713097,21.316564164905316,0.0,0.0,23.0,-0.873871750955351,21.06172412770019,0.0,0.0,23.0,-0.9964027966942458,21.57313712880623,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,3,201,23.0,-0.4944156420420397,10.461966432092305,0.0,0.0,23.0,-0.7811353485808061,15.634519150622284,0.0,0.0,23.0,-0.3119435858096592,9.343717313484754,0.0,0.0,23.0,-1.8173618358354064,44.95775349727018,0.0,0.0,23.0,-1.519828891740137,40.774711934795675,0.0,0.0,23.0,-1.806374629718838,38.901139879003324,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,3,214,23.0,-0.4471574556164991,9.374767563976643,0.0,0.0,23.0,-0.6493830360866303,15.181990454773407,0.0,0.0,23.0,-0.41420942356350293,14.17157688188287,0.0,0.0,23.0,-2.0057964668028863,45.3784821885666,0.0,0.0,23.0,-1.8185928656485246,44.3696991908053,0.0,0.0,23.0,-1.6671877201711873,36.48214857869012,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,3,532,23.0,-0.12302511886380993,2.8737658003443336,0.0,0.0,23.0,-0.13645637353199144,5.3492333571665185,0.0,0.0,23.0,-0.17033975127231502,7.692120042915949,0.0,0.0,23.0,-1.1035537660296162,24.256989995180675,0.0,0.0,23.0,-0.9661259974846407,20.387605125206637,0.0,0.0,23.0,-0.988009202299909,22.73856906641716,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,3,545,10.0,-0.1357902694242946,4.404159676479145,0.0,0.0,23.0,-0.2385634800869413,12.435740132057113,0.0,0.0,23.0,-0.37094911051856866,15.038704238773732,0.0,0.0,23.0,-1.0525316115713097,21.316564164905316,0.0,0.0,23.0,-0.873871750955351,21.06172412770019,0.0,0.0,23.0,-0.9964027966942458,21.57313712880623,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,4,350,23.0,-0.16683529275911235,5.205587741783023,0.0,0.0,0.0,0.0,2.9319546790187155e-08,0.0,0.0,23.0,-0.16683529275911235,5.205587741783023,0.0,0.0,23.0,-1.0640058940365946,23.236991133091983,0.0,0.0,23.0,-0.9348590972452845,19.67806913781036,0.0,0.0,23.0,-0.9348590972452845,19.67806913781036,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,4,363,23.0,-0.24489981094123903,9.143429546472506,0.0,0.0,0.0,0.0,13.628331544494799,0.0,0.0,23.0,-0.24489981094123903,12.43870568928352,0.0,0.0,23.0,-1.010424445195194,19.462158570770487,0.0,0.0,23.0,-0.8413335619721561,18.756218353765913,0.0,0.0,23.0,-0.8413335619721561,21.141479554240288,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,5,350,23.0,-0.16683529275911235,5.205587741783023,0.0,0.0,0.0,0.0,2.9319546790187155e-08,0.0,0.0,23.0,-0.16683529275911235,5.205587741783023,0.0,0.0,23.0,-1.0640058940365946,23.236991133091983,0.0,0.0,23.0,-0.9348590972452845,19.67806913781036,0.0,0.0,23.0,-0.9348590972452845,19.67806913781036,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,5,363,23.0,-0.24489981094123903,9.143429546472506,0.0,0.0,0.0,0.0,13.628331544494799,0.0,0.0,23.0,-0.24489981094123903,12.43870568928352,0.0,0.0,23.0,-1.010424445195194,19.462158570770487,0.0,0.0,23.0,-0.8413335619721561,18.756218353765913,0.0,0.0,23.0,-0.8413335619721561,21.141479554240288,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,6,100,23.0,-0.16683529275911235,5.205587741783023,0.0,0.0,0.0,0.0,2.9319546790187155e-08,0.0,0.0,23.0,-0.16683529275911235,5.205587741783023,0.0,0.0,23.0,-1.0640058940365946,23.236991133091983,0.0,0.0,23.0,-0.9348590972452845,19.67806913781036,0.0,0.0,23.0,-0.9348590972452845,19.67806913781036,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,6,113,23.0,-0.24489981094123903,9.143429546472506,0.0,0.0,0.0,0.0,13.628331544494799,0.0,0.0,23.0,-0.24489981094123903,12.43870568928352,0.0,0.0,23.0,-1.010424445195194,19.462158570770487,0.0,0.0,23.0,-0.8413335619721561,18.756218353765913,0.0,0.0,23.0,-0.8413335619721561,21.141479554240288,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,6,263,23.0,-0.6372828863817444,15.25139060852969,0.0,0.0,23.0,-0.6132803771130984,15.673175807551816,0.0,0.0,23.0,-0.31055786490240556,9.822696516284898,0.0,0.0,23.0,-1.1189767097742485,33.04044190012085,0.0,0.0,23.0,-1.044049351651507,28.74279637720963,0.0,0.0,23.0,-1.656274379768378,43.326526837460435,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,7,89,23.0,-0.6392469891244896,15.276255535200901,0.0,0.0,23.0,-0.6206626317646304,15.79970680136779,0.0,0.0,23.0,-0.3225452850692677,10.03836768729448,0.0,0.0,23.0,-1.14907100344382,33.69762956844314,0.0,0.0,23.0,-1.0612882844839084,29.18096079605414,0.0,0.0,23.0,-1.6809664059942675,43.55076750122559,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,7,363,15.0,-1.4719695255714884,20.532201555127422,0.0,0.0,23.0,-1.597570971197301,27.18581462153126,0.0,0.0,23.0,-0.20113583553717984,7.248819266275595,0.0,0.0,23.0,-1.7314422230138007,32.451438354625026,0.0,0.0,23.0,-1.930459494649945,39.0844358506412,0.0,0.0,23.0,-1.2632435191458113,27.42875144878571,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,7,376,2.0,-2.0883347524372726,4.148000447681496,0.0,0.0,14.0,-2.5930890253010475,14.067480978011547,0.0,0.0,14.0,-0.5474757166159823,10.003855723910773,0.0,0.0,23.0,-0.5896400539601826,28.47684509061524,-1.1368960159395625,9.64278131686894,23.0,-1.0913045364827314,36.973869594216765,-1.1368960159395625,9.64278131686894,23.0,-0.25962548512721234,27.855290739324797,-1.1368960159395625,9.64278131686894
C:\Users\u172951\Documents\data\0021500480.json,7,424,1.0,-4.1464100713315216e-08,8.292820142663043e-08,0.0,0.0,23.0,-0.35020824407831425,9.22568635735242,0.0,0.0,23.0,-0.35020824407831425,9.22568635735242,0.0,0.0,23.0,-1.2509266032715112,28.856230171812335,0.0,0.0,23.0,-0.998175232828074,25.25675477384915,0.0,0.0,23.0,-1.2509266032715112,28.856230171812335,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,7,437,0.0,0.0,6.088568282779348,0.0,0.0,23.0,-0.4267500927987966,10.319791294749265,0.0,0.0,23.0,-0.4267500927987966,10.066399478649517,0.0,0.0,23.0,-1.257334663193105,27.128324219915548,0.0,0.0,23.0,-1.1189196028218544,22.34601958976235,0.0,0.0,23.0,-1.257334663193105,28.050878449707284,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,7,450,23.0,-0.1753611869347826,18.580369899482744,0.0,0.0,23.0,-0.3988294238654303,12.739641447981656,0.0,0.0,23.0,-0.3171473764638778,13.376425634100219,0.0,0.0,23.0,-1.103707397210546,25.25453197520489,0.0,0.0,23.0,-0.9107676213179793,15.107185940092005,0.0,0.0,23.0,-1.2587678506983704,25.77024878247035,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,7,501,23.0,-0.6351663432900022,18.5405357244266,0.0,0.0,23.0,-0.5460186941733474,15.633760324164689,0.0,0.0,23.0,-0.23193773673414975,4.5386632823109405,0.0,0.0,23.0,-1.3969058734976016,31.634909804280177,0.0,0.0,23.0,-1.2023859465202569,29.06306370668649,0.0,0.0,23.0,-0.8796398434255789,16.87600564001236,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,7,514,23.0,-0.8526362905439527,20.03646032424391,0.0,0.0,23.0,-0.7068466303501977,19.10679291642103,0.0,0.0,23.0,-0.16218363840346126,8.168815171381487,0.0,0.0,23.0,-1.3797644360144812,29.295510918153983,0.0,0.0,23.0,-1.2791508882744622,30.020619179620287,0.0,0.0,23.0,-0.7118528798940281,12.129525455380143,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,7,527,23.0,-0.8941721861791967,16.263118853127914,0.0,0.0,23.0,-0.8511148668509257,18.546176150025396,0.0,0.0,23.0,-0.3927973416864181,14.513958485313747,0.0,0.0,23.0,-1.2637825139316776,24.422441291437234,0.0,0.0,23.0,-1.3117481667722068,23.632455293702787,0.0,0.0,23.0,-0.48859427372767117,9.096747459306316,0.0,0.0
C:\Users\u172951\Documents\data\0021500480.json,7,843,23.0,0.041950829193979536,7.813416639731819,-0.4905669188527258,2.3776577178515073,23.0,0.2998334843277869,5.865150901038024,-0.4905669188527258,3.0184154201888367,18.0,-0.49294797615631647,9.717618629353211,0.0,1.1436098797789933,23.0,-0.46587560936734246,39.0439628796446,-1.8732200614477075,9.423023025095375,23.0,-0.6592193250659878,42.16808165518869,-1.8732200614477075,9.706152325325334,23.0,-0.9466216337398493,37.23372486399104,-1.4100646434694046,7.16627038541993
